Tucson,32.2217,-110.9265
Miami Arizona,33.3992,-110.8687
Juneau,58.3019,-134.4197
New Britain Connecticut,41.6612,-72.7795
Lawton Oklahoma,34.6087,-98.3903
Coal Creek,37.6775,-113.0619
Manson Mesa,36.9105445,-111.4557122
New London Connecticut,41.5243,-72.0759
Durant,33.994,-96.3708
Redding California,40.5865,-122.3917
Arkansas,34.969704,-92.373123
New Guinea,-6.0834,145.3873
Sabino Canyon,32.3180556,-110.8161111
Nankoweap Canyon,36.3047075,-111.8584963
Sentinel Rock,36.9555435,-111.4851588
Red Canyon,39.6660972,-106.6453121
Charleston,32.7766,-79.9309
Prospect Canyon,37.1666856,-104.5230413
Ventura California,34.2783,-119.2932
Batesville,35.7698,-91.641
Tuna Rock,36.1427592,-112.2576734
Springville Utah,40.1652,-111.6107
Konigshofen Germany,49.5653,9.7082
Canadian Texas,35.9128,-100.3821
Myrtle Point,43.0648,-124.139
Page Arizona,36.9147,-111.4558
Korea,0,0
Drake,31.3152,-85.8552
Yuma County,32.773942,-113.910905
Payson,40.0444,-111.7322
Santa Barbara,34.953,-120.4357
United States of America,37.09024,-95.712891
Boundary Butte,37.038334,-109.4834461
Bonampak,0,0
Ann Arbor,42.2776,-83.7409
Phoenix,33.4484,-112.074
Princeton Arkansas,33.9818,-92.6246
Whitmore Canyon,39.5557997,-110.3801549
Gold Beach,-28.1169,153.4658
Blanding,37.6243,-109.4797
Kanab Utah,37.0475,-112.5263
Gamerco,35.5722438,-108.7653629
Oaxaca,17.0654,-96.7237
McRoberts Kentucky,37.2076,-82.6718
Maine,44.693947,-69.381927
Aneth,37.216108,-109.187057
Tepic Mexico,21.5095,-104.8957
Makaha,21.4663,-158.2104
Littleton,39.6133,-105.0166
Coos Bay Oregon,43.3665,-124.2179
Cumberland,41.9668,-71.4328
Havasu,34.4839,-114.3225
Niagara,43.0945,-79.0567
New Britain,41.6612,-72.7795
Tanzania,-6.369028,34.888822
Fort Verde,34.5636,-111.8543
House Rock Valley,36.6738757,-111.7418298
Portland,45.5234,-122.6762
Kansas,38.526600,-96.726486
Medford Oregon,42.3265,-122.8756
South Africa,-30.559482,22.937506
Berlin,52.5244,13.4105
Soap Creek,36.7372489,-111.6940459
Deswood,36.5027038,-109.3723094
Chitwood Missouri,37.0889,-94.5488
Fraser River,40.1002636,-105.9741834
Haiti,18.971187,-72.285215
Chinle,36.1544,-109.5526
Safford Arizona,32.834,-109.7076
Fort Tuthill,35.1416792,-111.6943279
Kirtland New Mexico,36.7342,-108.3598
Salt River,33.4484,-112.074
Santa Anita,20.5506,-103.44
Coconino Plateau,35.8333209,-112.5021238
Caineville,38.3330359,-111.0187738
Navajo Reservation,35.9000121,-109.0339832
Vernal Utah,40.4555,-109.5288
Bluff,32.2988,-90.1848
Kilbourn Wisconsin,43.6275,-89.771
Cosnino,35.2072354,-111.5032135
Naco,31.3354,-109.9481
Bullfrog,37.5949901,-110.7834801
Ohio,40.388783,-82.764915
Seligman,35.3255608,-112.8774057
Sand Island,37.261613,-109.61236
Roseville,38.7521,-121.288
Oak Creek,42.8858,-87.8631
Lampasas Texas,31.0638,-98.1817
Archie,38.4817,-94.3544
